Season,max_publication_day,min_publication_day,observations,oldest_edition_age,systems,teams,tournament_labels_used
2013,128,119,19902,13,61,347,False
2014,128,121,21866,11,66,351,False
2015,128,121,20132,11,61,351,False
2016,128,121,21536,11,65,351,False
2017,128,121,23687,11,71,351,False
2018,128,128,21926,4,66,351,False
2019,128,121,23369,11,69,353,False
2021,128,121,18105,11,55,347,False
2022,128,128,20480,4,60,358,False
2023,128,128,22631,4,66,363,False
2024,128,121,20347,11,59,362,False
2025,128,121,19727,11,57,364,False
