Season,recipe,feature,standardized_coefficient
2022,anchor,diff_seed,-0.062902903684754916
2022,anchor,diff_strength,0.34799271003152948
2022,anchor,diff_schedule_strength,0.54610824143966563
2022,anchor,diff_win_rate,0.035631152161727013
2022,anchor,diff_margin,0.19670196487842773
2022,anchor,diff_margin_sd,0.033623963901784647
2022,anchor,diff_adj_offense,0.31389656387439641
2022,anchor,diff_adj_defense,0.34669526692315161
2022,anchor,diff_two_posterior,0.05425316803544214
2022,anchor,diff_three_posterior,-0.043271421519789889
2022,anchor,diff_free_posterior,-0.055362915242479729
2022,anchor,diff_opp_two_posterior,0.14289318701148379
2022,anchor,diff_opp_three_posterior,0.093111771877830707
2022,anchor,diff_opp_free_posterior,0.04377765815845383
2022,anchor,diff_three_share,0.050550941239194173
2022,anchor,diff_opp_three_share,0.017326629574971615
2022,anchor_consensus,diff_seed,0.073692004147521598
2022,anchor_consensus,diff_strength,0.2940056469615025
2022,anchor_consensus,diff_schedule_strength,0.43995749366797166
2022,anchor_consensus,diff_win_rate,-0.014361551091704819
2022,anchor_consensus,diff_margin,0.16701629361552536
2022,anchor_consensus,diff_margin_sd,0.034156287972959408
2022,anchor_consensus,diff_adj_offense,0.26104176941414148
2022,anchor_consensus,diff_adj_defense,0.31442308405573066
2022,anchor_consensus,diff_two_posterior,0.05647055179321693
2022,anchor_consensus,diff_three_posterior,-0.047228088938941468
2022,anchor_consensus,diff_free_posterior,-0.055999133684798176
2022,anchor_consensus,diff_opp_two_posterior,0.1523628153639113
2022,anchor_consensus,diff_opp_three_posterior,0.086895694766215711
2022,anchor_consensus,diff_opp_free_posterior,0.051075418895560908
2022,anchor_consensus,diff_three_share,0.049024318757190634
2022,anchor_consensus,diff_opp_three_share,0.01970354607556106
2022,anchor_consensus,diff_rank_consensus_logit,0.41212791803815146
2023,anchor,diff_seed,-0.066443396391571721
2023,anchor,diff_strength,0.28724440087737163
2023,anchor,diff_schedule_strength,0.58439612471247082
2023,anchor,diff_win_rate,0.089314585789664364
2023,anchor,diff_margin,0.10550006678985652
2023,anchor,diff_margin_sd,0.049629470920731722
2023,anchor,diff_adj_offense,0.3076872164471684
2023,anchor,diff_adj_defense,0.33688289863402404
2023,anchor,diff_two_posterior,0.053031760626811177
2023,anchor,diff_three_posterior,-0.044096206063166318
2023,anchor,diff_free_posterior,-0.01432691186228208
2023,anchor,diff_opp_two_posterior,0.1402605574905525
