Gender,Season,recipe,feature,standardized_coefficient
M,2016,anchor,diff_seed,-0.13504868472349221
M,2016,anchor,diff_strength,0.31119016710920488
M,2016,anchor,diff_schedule_strength,0.41847996039169572
M,2016,anchor,diff_win_rate,0.15352943033917893
M,2016,anchor,diff_margin,0.21313889220099311
M,2016,anchor,diff_margin_sd,0.19602696448883766
M,2016,anchor,diff_adj_offense,0.28512489791093854
M,2016,anchor,diff_adj_defense,0.21356724437189362
M,2016,anchor,diff_two_posterior,0.085913264705575268
M,2016,anchor,diff_three_posterior,-0.024207929560407342
M,2016,anchor,diff_free_posterior,-0.047354798314824718
M,2016,anchor,diff_opp_two_posterior,0.046953365556503042
M,2016,anchor,diff_opp_three_posterior,0.16132568101006514
M,2016,anchor,diff_opp_free_posterior,0.081242786133301326
M,2016,anchor,diff_three_share,-0.15197351759532512
M,2016,anchor,diff_opp_three_share,-0.10863403947750121
M,2016,anchor_rates,diff_seed,-0.11833653532843043
M,2016,anchor_rates,diff_strength,0.25835481586830028
M,2016,anchor_rates,diff_schedule_strength,0.41828113545779338
M,2016,anchor_rates,diff_win_rate,0.13198837196482621
M,2016,anchor_rates,diff_margin,0.15422135492664299
M,2016,anchor_rates,diff_margin_sd,0.16244139385525858
M,2016,anchor_rates,diff_adj_offense,0.26077649940613412
M,2016,anchor_rates,diff_adj_defense,0.14755177708046144
M,2016,anchor_rates,diff_two_posterior,0.15147568471061559
M,2016,anchor_rates,diff_three_posterior,0.0171839767082488
M,2016,anchor_rates,diff_free_posterior,0.035111797938208109
M,2016,anchor_rates,diff_opp_two_posterior,-0.0046659846242648514
M,2016,anchor_rates,diff_opp_three_posterior,0.099910151108010894
M,2016,anchor_rates,diff_opp_free_posterior,0.08525732169411282
M,2016,anchor_rates,diff_three_share,-0.15123580158772515
M,2016,anchor_rates,diff_opp_three_share,-0.13716378998204429
M,2016,anchor_rates,diff_tov_rate,-0.0028555765176940286
M,2016,anchor_rates,diff_orb_rate,0.27716437551693041
M,2016,anchor_rates,diff_fta_rate,-0.21648750218922552
M,2016,anchor_rates,diff_opp_tov_rate,0.17493403978502992
M,2016,anchor_rates,diff_opp_orb_rate,-0.13522960631930875
M,2016,anchor_rates,diff_opp_fta_rate,-0.1097620818864746
M,2016,anchor_mechanism,diff_seed,-0.13998577910853041
M,2016,anchor_mechanism,diff_strength,0.21410658286864129
M,2016,anchor_mechanism,diff_schedule_strength,0.4468154613725358
M,2016,anchor_mechanism,diff_win_rate,0.11871878720675944
M,2016,anchor_mechanism,diff_margin,0.095678501261485749
M,2016,anchor_mechanism,diff_margin_sd,0.20097565283500798
M,2016,anchor_mechanism,diff_adj_offense,0.21164144092597376
M,2016,anchor_mechanism,diff_adj_defense,0.13396746697978912
M,2016,anchor_mechanism,diff_two_posterior,0.13769011568364267
M,2016,anchor_mechanism,diff_three_posterior,0.012383911728764435
M,2016,anchor_mechanism,diff_free_posterior,0.091693827198639222
M,2016,anchor_mechanism,diff_opp_two_posterior,0.036833129095782402
M,2016,anchor_mechanism,diff_opp_three_posterior,0.10616524632604779
M,2016,anchor_mechanism,diff_opp_free_posterior,0.05135794817515367
M,2016,anchor_mechanism,diff_three_share,-0.15857183007170814
M,2016,anchor_mechanism,diff_opp_three_share,-0.10978272072178841
M,2016,anchor_mechanism,possession_net_pp100,0.17601909085929227
M,2016,anchor_mechanism,possession_rebound_edge_pp100,0.24069379903461258
M,2016,anchor_mechanism,possession_turnover_edge_pp100,0.094119387195831544
M,2016,anchor_mechanism,possession_free_throw_edge_pp100,-0.12520473830659898
M,2016,anchor_both,diff_seed,-0.11453693236990045
M,2016,anchor_both,diff_strength,0.20281562001765205
M,2016,anchor_both,diff_schedule_strength,0.43506299628773654
M,2016,anchor_both,diff_win_rate,0.10425559307390785
M,2016,anchor_both,diff_margin,0.0866677292880879
M,2016,anchor_both,diff_margin_sd,0.16204940140005208
M,2016,anchor_both,diff_adj_offense,0.21143417564306755
M,2016,anchor_both,diff_adj_defense,0.10541985866383957
M,2016,anchor_both,diff_two_posterior,0.14924453858605671
M,2016,anchor_both,diff_three_posterior,0.013551413063337755
M,2016,anchor_both,diff_free_posterior,0.10518584547091854
M,2016,anchor_both,diff_opp_two_posterior,0.009486955648273716
M,2016,anchor_both,diff_opp_three_posterior,0.094097345113362083
M,2016,anchor_both,diff_opp_free_posterior,0.07446491601113335
M,2016,anchor_both,diff_three_share,-0.16476409053473562
M,2016,anchor_both,diff_opp_three_share,-0.12427963387081413
M,2016,anchor_both,diff_tov_rate,0.012175541260593888
M,2016,anchor_both,diff_orb_rate,0.16309036438413518
M,2016,anchor_both,diff_fta_rate,-0.18331798119359377
M,2016,anchor_both,diff_opp_tov_rate,0.14351433133550795
M,2016,anchor_both,diff_opp_orb_rate,-0.048906416863002219
M,2016,anchor_both,diff_opp_fta_rate,-0.16992111014582065
M,2016,anchor_both,possession_net_pp100,0.16176960072655994
M,2016,anchor_both,possession_rebound_edge_pp100,0.19109816742915156
