Gender,recipe,seasons,games,mean_season_brier,game_weighted_brier,mean_season_delta,improved_seasons,worst_season_delta
M,anchor,4,252,0.18960794057372873,0.18960794057372873,0,0,0
M,anchor_both,4,252,0.18878826743131749,0.18878826743131746,-0.00081967314241125633,3,0.0064858784456281182
M,anchor_mechanism,4,252,0.19036710598956144,0.19036710598956147,0.00075916541583269381,2,0.0084706847740563807
M,anchor_rates,4,252,0.18836804695798051,0.18836804695798051,-0.001239893615748229,3,0.0062071104995331805
W,anchor,4,252,0.14883427307352776,0.14883427307352776,0,0,0
W,anchor_both,4,252,0.15387345882162409,0.15387345882162407,0.0050391857480963365,0,0.010151919474631066
W,anchor_mechanism,4,252,0.15020360847690614,0.15020360847690614,0.0013693354033783856,0,0.0027789721129909684
W,anchor_rates,4,252,0.15328024010567012,0.15328024010567012,0.0044459670321423603,1,0.010036484994041195
combined,anchor,4,504,0.16922110682362823,0.16922110682362823,0,,
combined,anchor_both,4,504,0.17133086312647081,0.17133086312647078,0.0021097563028425401,,
combined,anchor_mechanism,4,504,0.17028535723323379,0.17028535723323379,0.0010642504096055397,,
combined,anchor_rates,4,504,0.17082414353182532,0.17082414353182532,0.0016030367081970658,,
