feature,family,new_definition,description,availability,leakage_policy,swap_parity,hypothesis_status
diff_seed,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_strength,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_schedule_strength,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_win_rate,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_margin,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_margin_sd,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_adj_offense,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_adj_defense,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_two_posterior,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_three_posterior,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_free_posterior,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_opp_two_posterior,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_opp_three_posterior,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_opp_free_posterior,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_three_share,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_opp_three_share,unchanged_reference,False,Exact cached 16-input reference control,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_tov_rate,basic_rate_controls,False,"Team difference in shrunk offense/allowed turnover, rebound, or FTA/FGA rate; concept already in project",regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_orb_rate,basic_rate_controls,False,"Team difference in shrunk offense/allowed turnover, rebound, or FTA/FGA rate; concept already in project",regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_fta_rate,basic_rate_controls,False,"Team difference in shrunk offense/allowed turnover, rebound, or FTA/FGA rate; concept already in project",regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_opp_tov_rate,basic_rate_controls,False,"Team difference in shrunk offense/allowed turnover, rebound, or FTA/FGA rate; concept already in project",regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_opp_orb_rate,basic_rate_controls,False,"Team difference in shrunk offense/allowed turnover, rebound, or FTA/FGA rate; concept already in project",regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
diff_opp_fta_rate,basic_rate_controls,False,"Team difference in shrunk offense/allowed turnover, rebound, or FTA/FGA rate; concept already in project",regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
possession_net_pp100,possession_accounting,True,Neutral scoring proxy difference from possession accounting,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
possession_rebound_edge_pp100,possession_accounting,True,Difference in scoring proxy gain when rebounds are enabled instead of zero,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
possession_turnover_edge_pp100,possession_accounting,True,Difference in negative scoring proxy loss from turnovers instead of zero turnovers,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
possession_free_throw_edge_pp100,possession_accounting,True,Difference in scoring proxy change when FTA/FGA is enabled instead of zero,regular-season games through day 132; seeds in reference after field announcement,No tournament labels in snapshots or matchup construction; priors are same-season regular-only,-1,Unproven; fixed-formula exploratory ablation required
