Check,Passed,Blocking,Details
notebook 03 self-contained integrity gate passed,True,True,recipe=92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac
notebook 03 metric integrity report is empty,True,True,rows=0
notebook 03 framework coverage is complete,True,True,"[{""Gender"":""M"",""Architecture"":""separate_gender"",""Complete"":true,""MissingModels"":""[]""},{""Gender"":""M"",""Architecture"":""pooled_common"",""Complete"":true,""MissingModels"":""[]""},{""Gender"":""W"",""Architecture"":""separate_gender"",""Complete"":true,""MissingModels"":""[]""},{""Gender"":""W"",""Architecture"":""pooled_common"",""Complete"":true,""MissingModels"":""[]""}]"
development handoff reports were written before benchmark access,True,True,"primary, challenger, and neural audit"
benchmark blueprint is unchanged,True,True,fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7
locked benchmark consumption lock is present,True,True,C:\Users\alvaro\ML\march-mania-2026\reports\final_2026\benchmark_consumption_lock.json
locked benchmark predictions match the lock,True,True,"{""lock_version"": 2, ""consumed_at_utc"": ""2026-08-31T18:56:56.330758+00:00"", ""benchmark_signature"": ""484ad18f67fe0a6f112ce51376520c44b26ff2b9e58a83941ff94a7309fcae62"", ""blueprint_sha256"": ""fe018aa50049709a74f9fdcc43d8bbdc7c6510d0091f47a57ecc2467e6c888d7"", ""recipe_sha256"": ""92a52d4e16ca29b847ba14a37032417713256c7101388f63ca263203adeb12ac"", ""historical_store_sha256"": ""93dc3472ee3d47eb64604dddcdde884d8392adc415c4e5f314ee1f6ad4a36711"", ""locked_seasons"": [2022, 2023, 2024, 2025], ""prediction_path"": ""C:\\Users\\alvaro\\ML\\march-mania-2026\\data\\processed\\locked_benchmark_predictions.parquet"", ""prediction_sha256"": ""8806466f06eef1dc0545884bfd750ce4c77f1ec165355209ca7a77aa129580bf"", ""metrics_sha256"": ""0f80e009de5df32081fcddf5cc2c8dc6f11fd6445f80921ed93ebe89d5f93e3b"", ""post_benchmark_retuning_permitted"": false}"
"every locked game has primary, challenger, and blend predictions",True,True,"{('prequential_refit', 'M'): 3, ('prequential_refit', 'W'): 3, ('static_block', 'M'): 3, ('static_block', 'W'): 3}"
benchmark metric suite is finite,True,True,rows=12
all six final scoring bundles were fitted,True,True,"['M_challenger', 'M_fallback', 'M_primary', 'W_challenger', 'W_fallback', 'W_primary']"
final fitted models preserve probability symmetry,True,True,maximum=2.220e-16
Stage 2 row count and original order are exact,True,True,"rows=132,133"
Stage 2 IDs are unique and lower-TeamID oriented,True,True,ID unique; Team1ID < Team2ID
all Stage 2 probabilities are finite and bounded,True,True,"primary, challenger, and blend"
every Stage 2 row has explicit primary and challenger routes,True,True,"[{""Gender"":""M"",""FeatureRoute"":""seed_aware"",""PrimaryRoute"":""M_primary"",""ChallengerRoute"":""M_challenger"",""Rows"":2278},{""Gender"":""M"",""FeatureRoute"":""seed_free"",""PrimaryRoute"":""M_fallback"",""ChallengerRoute"":""M_fallback"",""Rows"":64152},{""Gender"":""W"",""FeatureRoute"":""seed_aware"",""PrimaryRoute"":""W_primary"",""ChallengerRoute"":""W_challenger"",""Rows"":2278},{""Gender"":""W"",""FeatureRoute"":""seed_free"",""PrimaryRoute"":""W_fallback"",""ChallengerRoute"":""W_fallback"",""Rows"":63425}]"
seed-aware and seed-free routing is coherent,True,True,"{'seed_free': 127577, 'seed_aware': 4556}"
all submission files have exact schema and row count,True,True,"[{""Submission"":""primary"",""Path"":""C:\\Users\\alvaro\\ML\\march-mania-2026\\submissions\\submission_2026_primary.csv"",""Rows"":132133,""SHA256"":""f19d0fa1c2e5f6f9ad80a346dffa40adeda6a95d45c5f5696ac92acaa0012e5e"",""Purpose"":""Predeclared one-standard-error recommendation""},{""Submission"":""challenger"",""Path"":""C:\\Users\\alvaro\\ML\\march-mania-2026\\submissions\\submission_2026_challenger.csv"",""Rows"":132133,""SHA256"":""ba813d600a73cc97cc61c73ffe68f17bdfec049772780a445ef5928d8729550d"",""Purpose"":""Lowest development Brier-score model""},{""Submission"":""development_blend"",""Path"":""C:\\Users\\alvaro\\ML\\march-mania-2026\\submissions\\submission_2026_development_blend.csv"",""Rows"":132133,""SHA256"":""ec72fecc916ed54125e7f8e86f4b838836a965654c76086787a75ead4f68c3ba"",""Purpose"":""Blend weight frozen on development OOF""},{""Submission"":""default"",""Path"":""C:\\Users\\alvaro\\ML\\march-mania-2026\\submissions\\submission_2026.csv"",""Rows"":132133,""SHA256"":""f19d0fa1c2e5f6f9ad80a346dffa40adeda6a95d45c5f5696ac92acaa0012e5e"",""Purpose"":""Alias of the primary submission""}]"
interactive Plotly reports were written,True,True,reports=18; missing=[]
bracket audit passed when bracket artifacts were available,True,False,available
