Gender,Season,Slot,Round,TeamID,TeamName,WinSlotProbability
M,2026,R1W1,1,1181,Duke,0.9831642508506775
M,2026,R1W1,1,1373,Siena,0.01683574914932251
M,2026,R1W2,1,1163,Connecticut,0.948064997792244
M,2026,R1W2,1,1202,Furman,0.05193500220775604
M,2026,R1W3,1,1277,Michigan St,0.8909907303750515
M,2026,R1W3,1,1295,N Dakota St,0.1090092696249485
M,2026,R1W4,1,1242,Kansas,0.8891968056559563
M,2026,R1W4,1,1465,Cal Baptist,0.11080319434404373
M,2026,R1W5,1,1385,St John's,0.8411969542503357
M,2026,R1W5,1,1320,Northern Iowa,0.1588030457496643
M,2026,R1W6,1,1257,Louisville,0.6561261266469955
M,2026,R1W6,1,1378,South Florida,0.34387387335300446
M,2026,R1W7,1,1417,UCLA,0.6557454466819763
M,2026,R1W7,1,1416,UCF,0.3442545533180237
M,2026,R1W8,1,1326,Ohio St,0.59734146296978
M,2026,R1W8,1,1395,TCU,0.40265853703022003
M,2026,R1X2,1,1222,Houston,0.9667777791619301
M,2026,R1X2,1,1225,Idaho,0.033222220838069916
M,2026,R1X3,1,1228,Illinois,0.92890465259552
M,2026,R1X3,1,1335,Penn,0.07109534740447998
M,2026,R1X4,1,1304,Nebraska,0.8655048981308937
M,2026,R1X4,1,1407,Troy,0.1344951018691063
M,2026,R1X5,1,1435,Vanderbilt,0.8096354529261589
M,2026,R1X5,1,1270,McNeese St,0.1903645470738411
M,2026,R1X6,1,1314,North Carolina,0.5681606382131577
M,2026,R1X6,1,1433,VCU,0.43183936178684235
M,2026,R1X7,1,1388,St Mary's CA,0.6264058202505112
M,2026,R1X7,1,1401,Texas A&M,0.37359417974948883
M,2026,R1X8,1,1155,Clemson,0.5424629896879196
M,2026,R1X8,1,1234,Iowa,0.4575370103120804
M,2026,R1Y2,1,1235,Iowa St,0.9585193935781717
M,2026,R1Y2,1,1398,Tennessee St,0.04148060642182827
M,2026,R1Y3,1,1438,Virginia,0.9246860072016716
M,2026,R1Y3,1,1460,Wright St,0.0753139927983284
M,2026,R1Y4,1,1104,Alabama,0.8289595171809196
M,2026,R1Y4,1,1220,Hofstra,0.17104048281908035
M,2026,R1Y5,1,1403,Texas Tech,0.7337392121553421
M,2026,R1Y5,1,1103,Akron,0.2662607878446579
M,2026,R1Y7,1,1246,Kentucky,0.5409644544124603
M,2026,R1Y7,1,1365,Santa Clara,0.4590355455875397
M,2026,R1Y8,1,1208,Georgia,0.4318612515926361
M,2026,R1Y8,1,1387,St Louis,0.5681387484073639
M,2026,R1Z1,1,1112,Arizona,0.9878698908723891
M,2026,R1Z1,1,1254,LIU Brooklyn,0.012130109127610922
M,2026,R1Z2,1,1345,Purdue,0.9548386670649052
M,2026,R1Z2,1,1474,Queens NC,0.04516133293509483
M,2026,R1Z3,1,1211,Gonzaga,0.9526762887835503
M,2026,R1Z3,1,1244,Kennesaw,0.04732371121644974
M,2026,R1Z4,1,1116,Arkansas,0.9156453646719456
M,2026,R1Z4,1,1218,Hawaii,0.08435463532805443
M,2026,R1Z5,1,1458,Wisconsin,0.7920058146119118
M,2026,R1Z5,1,1219,High Point,0.20799418538808823
M,2026,R1Z7,1,1274,Miami FL,0.5871491134166718
M,2026,R1Z7,1,1281,Missouri,0.41285088658332825
M,2026,R1Z8,1,1437,Villanova,0.3252176493406296
M,2026,R1Z8,1,1429,Utah St,0.6747823506593704
M,2026,R2W1,2,1181,Duke,0.8790728260290992
M,2026,R2W1,2,1326,Ohio St,0.07960710285003789
M,2026,R2W1,2,1395,TCU,0.03913946536257487
M,2026,R2W1,2,1373,Siena,0.0021806057582879853
M,2026,R2W2,2,1163,Connecticut,0.6750267823772973
M,2026,R2W2,2,1417,UCLA,0.23641418850257315
M,2026,R2W2,2,1416,UCF,0.08204927911749121
M,2026,R2W2,2,1202,Furman,0.006509750002638332
M,2026,R2W3,2,1277,Michigan St,0.5243016197230383
M,2026,R2W3,2,1257,Louisville,0.3337849393893524
M,2026,R2W3,2,1378,South Florida,0.12508248143609207
M,2026,R2W3,2,1295,N Dakota St,0.016830959451517143
M,2026,R2W4,2,1242,Kansas,0.4190664922928558
M,2026,R2W4,2,1385,St John's,0.5258547877276913
M,2026,R2W4,2,1320,Northern Iowa,0.04204741772662858
M,2026,R2W4,2,1465,Cal Baptist,0.013031302252824239
M,2026,R2X2,2,1222,Houston,0.6970001933485859
M,2026,R2X2,2,1388,St Mary's CA,0.21100555585093322
M,2026,R2X2,2,1401,Texas A&M,0.08918236088410028
M,2026,R2X2,2,1225,Idaho,0.0028118899163805866
M,2026,R2X3,2,1228,Illinois,0.6120127939858642
M,2026,R2X3,2,1314,North Carolina,0.22967980299981983
M,2026,R2X3,2,1433,VCU,0.14907297955371723
