Season,recipe,feature,coefficient
2022,reference,diff_seed,0.073692004147521598
2022,reference,diff_strength,0.2940056469615025
2022,reference,diff_schedule_strength,0.43995749366797166
2022,reference,diff_win_rate,-0.014361551091704819
2022,reference,diff_margin,0.16701629361552536
2022,reference,diff_margin_sd,0.034156287972959408
2022,reference,diff_adj_offense,0.26104176941414148
2022,reference,diff_adj_defense,0.31442308405573066
2022,reference,diff_two_posterior,0.05647055179321693
2022,reference,diff_three_posterior,-0.047228088938941468
2022,reference,diff_free_posterior,-0.055999133684798176
2022,reference,diff_opp_two_posterior,0.1523628153639113
2022,reference,diff_opp_three_posterior,0.086895694766215711
2022,reference,diff_opp_free_posterior,0.051075418895560908
2022,reference,diff_three_share,0.049024318757190634
2022,reference,diff_opp_three_share,0.01970354607556106
2022,reference,diff_rank_consensus_logit,0.41212791803815146
2022,score_and_result,diff_seed,0.065624210345685455
2022,score_and_result,diff_strength,0.28708493491380321
2022,score_and_result,diff_schedule_strength,0.45483012007300783
2022,score_and_result,diff_win_rate,0.016490557470770602
2022,score_and_result,diff_margin,0.15083531948437137
2022,score_and_result,diff_margin_sd,0.036103008311112052
2022,score_and_result,diff_adj_offense,0.26664841146096824
2022,score_and_result,diff_adj_defense,0.31463415126296479
2022,score_and_result,diff_two_posterior,0.062309044314560649
2022,score_and_result,diff_three_posterior,-0.051199900351803426
2022,score_and_result,diff_free_posterior,-0.039943021056896955
2022,score_and_result,diff_opp_two_posterior,0.14982625550088213
2022,score_and_result,diff_opp_three_posterior,0.073040981639574273
2022,score_and_result,diff_opp_free_posterior,0.046783020200744929
2022,score_and_result,diff_three_share,0.045017882155757034
2022,score_and_result,diff_opp_three_share,0.024539678839393217
2022,score_and_result,diff_rank_consensus_logit,0.43579137430004361
2022,score_and_result,common_venue_margin_gap,0.076004751343674667
2022,score_and_result,common_venue_win_gap,-0.20490834749269793
2022,offense_and_defense,diff_seed,0.068497887392674234
2022,offense_and_defense,diff_strength,0.29654441792976177
2022,offense_and_defense,diff_schedule_strength,0.4411634529900304
2022,offense_and_defense,diff_win_rate,-0.01297426223645093
2022,offense_and_defense,diff_margin,0.16542671703631545
2022,offense_and_defense,diff_margin_sd,0.035246499952850126
2022,offense_and_defense,diff_adj_offense,0.2768533653525766
2022,offense_and_defense,diff_adj_defense,0.30566050284337426
2022,offense_and_defense,diff_two_posterior,0.068231265203173477
2022,offense_and_defense,diff_three_posterior,-0.041783472339345061
2022,offense_and_defense,diff_free_posterior,-0.059995785385323935
2022,offense_and_defense,diff_opp_two_posterior,0.15401373774921834
2022,offense_and_defense,diff_opp_three_posterior,0.087135937387273446
2022,offense_and_defense,diff_opp_free_posterior,0.050943888041124499
2022,offense_and_defense,diff_three_share,0.049202120141555679
2022,offense_and_defense,diff_opp_three_share,0.014808821137201203
2022,offense_and_defense,diff_rank_consensus_logit,0.42080575373637569
2022,offense_and_defense,common_venue_offense_gap,-0.085065118166884113
2022,offense_and_defense,common_venue_defense_gap,0.014861315705741611
2022,both,diff_seed,0.065162675372382628
2022,both,diff_strength,0.2877490709913656
