DatasetRole,Gender,Season,TournamentGames,Team1WinRate,MeanAbsoluteMargin,SeedCoverageRate,MeanAbsoluteSeedGap,SeedUnderdogWinRate,UniqueTeams
development,M,1985,63,0.5555555555555556,8.714285714285714,1.0,6.634920634920635,0.2903225806451613,64
development,M,1986,63,0.5714285714285714,10.698412698412698,1.0,6.73015873015873,0.2903225806451613,64
development,M,1987,63,0.49206349206349204,10.619047619047619,1.0,6.634920634920635,0.2903225806451613,64
development,M,1988,63,0.5079365079365079,12.063492063492063,1.0,6.301587301587301,0.27419354838709675,64
development,M,1989,63,0.5238095238095238,11.968253968253968,1.0,6.190476190476191,0.3225806451612903,64
development,M,1990,63,0.5714285714285714,10.0,1.0,6.555555555555555,0.31746031746031744,64
development,M,1991,63,0.5079365079365079,12.26984126984127,1.0,6.126984126984127,0.25396825396825395,64
development,M,1992,63,0.5079365079365079,12.507936507936508,1.0,6.031746031746032,0.23809523809523808,64
development,M,1993,63,0.4603174603174603,14.920634920634921,1.0,6.0,0.19672131147540983,64
development,M,1994,63,0.6984126984126984,11.11111111111111,1.0,6.285714285714286,0.2857142857142857,64
development,M,1995,63,0.4126984126984127,11.952380952380953,1.0,6.2063492063492065,0.22580645161290322,64
development,M,1996,63,0.5079365079365079,13.841269841269842,1.0,6.26984126984127,0.24193548387096775,64
development,M,1997,63,0.5714285714285714,11.476190476190476,1.0,6.111111111111111,0.25806451612903225,64
development,M,1998,63,0.49206349206349204,12.523809523809524,1.0,6.095238095238095,0.2857142857142857,64
development,M,1999,63,0.5873015873015873,13.53968253968254,1.0,6.7936507936507935,0.3770491803278688,64
development,M,2000,63,0.47619047619047616,11.555555555555555,1.0,6.063492063492063,0.30158730158730157,64
development,M,2001,64,0.53125,13.21875,1.0,6.40625,0.3333333333333333,65
development,M,2002,64,0.5,11.671875,1.0,6.5625,0.25806451612903225,65
development,M,2003,64,0.4375,11.015625,1.0,6.1875,0.3333333333333333,65
development,M,2004,64,0.5625,11.234375,1.0,6.03125,0.25396825396825395,65
development,M,2005,64,0.484375,10.1875,1.0,6.28125,0.3064516129032258,65
development,M,2006,64,0.5,10.03125,1.0,6.625,0.3333333333333333,65
development,M,2007,64,0.46875,12.125,1.0,5.703125,0.1935483870967742,65
development,M,2008,64,0.453125,13.9375,1.0,6.03125,0.21666666666666667,65
development,M,2009,64,0.375,12.90625,1.0,6.015625,0.25396825396825395,65
development,M,2010,64,0.5,10.703125,1.0,6.53125,0.3225806451612903,65
development,M,2011,67,0.5671641791044776,11.283582089552239,1.0,6.0,0.31746031746031744,68
development,M,2012,67,0.5223880597014925,9.880597014925373,1.0,5.970149253731344,0.27419354838709675,68
development,M,2013,67,0.4925373134328358,12.865671641791044,1.0,6.149253731343284,0.3225806451612903,68
development,M,2014,67,0.5671641791044776,10.925373134328359,1.0,6.17910447761194,0.3492063492063492,68
development,M,2015,67,0.4626865671641791,10.298507462686567,1.0,5.701492537313433,0.19672131147540983,68
development,M,2016,67,0.43283582089552236,12.985074626865671,1.0,6.134328358208955,0.3225806451612903,68
development,M,2017,67,0.4925373134328358,10.880597014925373,1.0,5.985074626865671,0.22580645161290322,68
development,M,2018,67,0.4626865671641791,11.328358208955224,1.0,6.044776119402985,0.3225806451612903,68
development,M,2019,67,0.43283582089552236,12.477611940298507,1.0,5.850746268656716,0.31746031746031744,68
development,M,2021,66,0.48484848484848486,12.43939393939394,1.0,6.621212121212121,0.3114754098360656,67
development,W,1998,63,0.5873015873015873,15.19047619047619,1.0,6.253968253968254,0.2857142857142857,64
development,W,1999,63,0.6349206349206349,15.793650793650794,1.0,5.746031746031746,0.18032786885245902,64
development,W,2000,63,0.5555555555555556,16.396825396825395,1.0,6.142857142857143,0.24193548387096775,64
development,W,2001,63,0.47619047619047616,18.07936507936508,1.0,5.888888888888889,0.24193548387096775,64
development,W,2002,63,0.5079365079365079,17.396825396825395,1.0,6.142857142857143,0.21311475409836064,64
development,W,2003,63,0.4603174603174603,15.492063492063492,1.0,5.825396825396825,0.16393442622950818,64
development,W,2004,63,0.5555555555555556,14.333333333333334,1.0,6.317460317460317,0.2857142857142857,64
development,W,2005,63,0.5555555555555556,17.0,1.0,6.031746031746032,0.24193548387096775,64
development,W,2006,63,0.5555555555555556,15.936507936507937,1.0,5.841269841269841,0.16129032258064516,64
development,W,2007,63,0.47619047619047616,17.158730158730158,1.0,6.174603174603175,0.24193548387096775,64
development,W,2008,63,0.4444444444444444,15.952380952380953,1.0,5.714285714285714,0.15873015873015872,64
development,W,2009,63,0.5873015873015873,17.317460317460316,1.0,6.158730158730159,0.25396825396825395,64
development,W,2010,63,0.6349206349206349,16.46031746031746,1.0,6.079365079365079,0.1935483870967742,64
development,W,2011,63,0.47619047619047616,15.523809523809524,1.0,5.984126984126984,0.2903225806451613,64
development,W,2012,63,0.5079365079365079,15.793650793650794,1.0,5.968253968253968,0.11666666666666667,64
development,W,2013,63,0.6349206349206349,16.428571428571427,1.0,6.111111111111111,0.22580645161290322,64
development,W,2014,63,0.47619047619047616,17.50793650793651,1.0,6.095238095238095,0.22580645161290322,64
development,W,2015,63,0.5873015873015873,15.158730158730158,1.0,6.015873015873016,0.16666666666666666,64
development,W,2016,63,0.4126984126984127,18.523809523809526,1.0,6.126984126984127,0.30158730158730157,64
development,W,2017,63,0.4444444444444444,19.238095238095237,1.0,6.015873015873016,0.19047619047619047,64
development,W,2018,63,0.5396825396825397,19.61904761904762,1.0,6.285714285714286,0.25,64
development,W,2019,63,0.5079365079365079,16.50793650793651,1.0,5.873015873015873,0.1774193548387097,64
development,W,2021,63,0.5873015873015873,17.22222222222222,1.0,6.015873015873016,0.1935483870967742,64
locked_benchmark,M,2022,67,0.47761194029850745,11.955223880597014,1.0,6.417910447761194,0.3333333333333333,68
locked_benchmark,M,2023,67,0.5970149253731343,11.343283582089553,1.0,5.791044776119403,0.30158730158730157,68
locked_benchmark,M,2024,67,0.6417910447761194,14.388059701492537,1.0,6.134328358208955,0.3064516129032258,68
locked_benchmark,M,2025,67,0.582089552238806,13.014925373134329,1.0,5.686567164179104,0.18333333333333332,68
locked_benchmark,W,2022,67,0.417910447761194,16.238805970149254,1.0,5.970149253731344,0.25806451612903225,68
locked_benchmark,W,2023,67,0.43283582089552236,16.253731343283583,1.0,5.731343283582089,0.2698412698412698,68
locked_benchmark,W,2024,67,0.47761194029850745,14.850746268656716,1.0,5.343283582089552,0.14516129032258066,68
locked_benchmark,W,2025,67,0.44776119402985076,20.238805970149254,1.0,5.2835820895522385,0.1774193548387097,68
