Gender,Season,DetailedGames,MedianGap,P95Gap,P99Gap,MaxGap,GapGT3Games,GapGT3Rate,GapGT5Games,GapGT5Rate,GapGT7Games,GapGT7Rate,GapGT10Games,GapGT10Rate,GapGT15Games,GapGT15Rate
M,2003,4616,1.25,3.8999999999999986,6.071250000000013,16.875,532,0.11525129982668977,89,0.019280762564991335,24,0.005199306759098787,7,0.0015164644714038128,3,0.0006499133448873484
M,2004,4571,1.2000000000000028,3.8499999999999943,5.632500000000011,12.800000000000004,517,0.11310435353314373,72,0.015751476700940712,16,0.003500328155764603,2,0.0004375410194705754,0,0.0
M,2005,4675,1.2249999999999943,3.799999999999997,5.450000000000003,9.875,525,0.11229946524064172,68,0.014545454545454545,12,0.0025668449197860962,0,0.0,0,0.0
M,2006,4757,1.1499999999999986,3.7250000000000014,5.2749999999999915,12.324999999999996,494,0.10384696237124239,60,0.012612991381122556,11,0.002312381753205802,1,0.00021021652301870928,0,0.0
M,2007,5043,1.2000000000000028,3.6750000000000043,5.174999999999997,16.025,498,0.09875074360499703,57,0.011302795954788817,10,0.00198294665873488,2,0.000396589331746976,1,0.000198294665873488
M,2008,5163,1.1749999999999972,3.7249999999999943,5.234500000000003,16.424999999999997,496,0.09606817741623087,66,0.012783265543288786,11,0.0021305442572147975,2,0.0003873716831299632,1,0.0001936858415649816
M,2009,5249,1.1750000000000043,3.5749999999999957,5.0,12.549999999999997,480,0.09144598971232616,51,0.009716136406934655,4,0.0007620499142693847,1,0.00019051247856734617,0,0.0
M,2010,5263,1.1749999999999972,3.4750000000000085,5.0,14.175000000000004,450,0.08550256507695231,51,0.009690290708721261,7,0.001330039901197036,1,0.00019000570017100514,0,0.0
M,2011,5246,1.1749999999999972,3.5999999999999943,5.075000000000003,10.475000000000001,498,0.09492947007243614,54,0.010293556995806329,6,0.001143728555089592,2,0.0003812428516965307,0,0.0
M,2012,5253,1.1500000000000057,3.5599999999999934,5.085999999999966,10.050000000000011,453,0.08623643632210165,55,0.010470207500475918,14,0.00266514372739387,1,0.00019036740909956216,0,0.0
M,2013,5320,1.1500000000000057,3.625,4.990500000000015,12.374999999999993,482,0.0906015037593985,50,0.009398496240601503,10,0.0018796992481203006,1,0.00018796992481203009,0,0.0
M,2014,5362,1.1500000000000057,3.674999999999997,5.059750000000016,10.724999999999994,506,0.09436777321894815,59,0.011003356956359567,6,0.0011189854531891085,2,0.0003729951510630362,0,0.0
M,2015,5354,1.1000000000000014,3.425,4.900000000000006,14.000000000000007,461,0.08610384759058648,51,0.009525588345162496,11,0.002054538662682107,3,0.0005603287261860292,0,0.0
M,2016,5369,1.1499999999999986,3.625,4.882999999999995,10.199999999999996,490,0.09126466753585398,44,0.008195194635872602,8,0.001490035388340473,1,0.00018625442354255913,0,0.0
M,2017,5395,1.1500000000000057,3.549999999999997,5.075000000000003,8.774999999999999,483,0.08952734012974976,57,0.01056533827618165,5,0.0009267840593141798,0,0.0,0,0.0
M,2018,5405,1.1499999999999915,3.424999999999997,4.672999999999999,10.149999999999999,448,0.08288621646623497,39,0.0072155411655874194,3,0.0005550416281221092,1,0.00018501387604070305,0,0.0
M,2019,5463,1.2000000000000028,3.722499999999986,5.134499999999999,9.500000000000007,538,0.09848068826652023,60,0.010982976386600769,7,0.001281347245103423,0,0.0,0,0.0
M,2020,5328,1.1500000000000057,3.625,4.950000000000003,9.725000000000009,507,0.09515765765765766,48,0.009009009009009009,10,0.0018768768768768769,0,0.0,0,0.0
M,2021,3855,1.6750000000000043,5.049999999999997,6.811500000000001,9.475000000000001,834,0.21634241245136188,197,0.051102464332036315,27,0.007003891050583658,0,0.0,0,0.0
M,2022,5345,1.6750000000000114,5.200000000000003,6.950000000000003,12.524999999999999,1279,0.23928905519176802,302,0.056501403180542566,47,0.008793264733395697,1,0.00018709073900841907,0,0.0
M,2023,5602,1.7375000000000043,5.1499999999999915,7.0,9.549999999999997,1353,0.24152088539807212,311,0.05551588718314888,56,0.009996429846483398,0,0.0,0,0.0
M,2024,5607,1.749999999999993,5.25,7.1000000000000085,10.525000000000006,1433,0.25557339040485105,352,0.06277866952024255,59,0.010522561084358837,3,0.0005350454788657035,0,0.0
M,2025,5641,1.7750000000000057,5.375000000000007,7.049999999999997,10.950000000000003,1391,0.24658748448856585,377,0.06683212196419075,59,0.010459138450629322,1,0.0001772735330615139,0,0.0
M,2026,5647,1.75,5.299999999999997,7.240500000000002,11.449999999999989,1422,0.2518151230741987,355,0.06286523817956437,64,0.011333451390118647,5,0.0008854258898530193,0,0.0
W,2010,5037,1.1500000000000057,3.75,5.541000000000008,11.575000000000003,489,0.09708159618820726,73,0.014492753623188406,19,0.003772086559459996,2,0.0003970617431010522,0,0.0
W,2011,5084,1.1500000000000057,3.674999999999997,5.054249999999998,9.274999999999991,476,0.0936270653029111,56,0.011014948859166011,8,0.0015735641227380016,0,0.0,0,0.0
W,2012,5050,1.1750000000000114,3.575000000000003,5.049999999999997,23.299999999999997,487,0.09643564356435644,52,0.010297029702970298,9,0.0017821782178217822,1,0.00019801980198019803,1,0.00019801980198019803
W,2013,5184,1.1500000000000057,3.575000000000003,5.108500000000009,12.325000000000003,497,0.09587191358024691,60,0.011574074074074073,11,0.0021219135802469135,1,0.00019290123456790122,0,0.0
W,2014,5252,1.1999999999999957,3.799999999999997,5.486749999999988,12.525000000000006,531,0.1011043412033511,78,0.01485148514851485,15,0.0028560548362528563,3,0.0005712109672505713,0,0.0
W,2015,5214,1.1500000000000057,3.625,5.318499999999985,11.474999999999994,468,0.08975834292289989,68,0.01304181051016494,10,0.0019179133103183737,1,0.00019179133103183735,0,0.0
W,2016,5209,1.25,3.7899999999999867,5.348000000000009,13.375,571,0.10961796889998081,74,0.01420618160875408,13,0.00249568055288923,4,0.0007679017085813016,0,0.0
W,2017,5210,1.25,3.763750000000007,5.150000000000005,10.200000000000003,547,0.10499040307101727,64,0.012284069097888676,10,0.0019193857965451055,1,0.00019193857965451057,0,0.0
