Gender,Season,GameKey,TeamID,CompactGames,DetailedGames,DetailedCoverageRate,RichFeatureCoverageEligible,TeamName,ConfAbbrev,CompactSnapshotAvailable
M,1985,M_1985_137_1104_1112,1104,30,0,0.0,False,Alabama,sec,True
M,1985,M_1985_137_1104_1112,1112,27,0,0.0,False,Arizona,pac_ten,True
M,1985,M_1985_136_1116_1234,1116,33,0,0.0,False,Arkansas,swc,True
M,1985,M_1985_136_1120_1345,1120,29,0,0.0,False,Auburn,sec,True
M,1985,M_1985_137_1130_1403,1130,26,0,0.0,False,Boston College,big_east,True
M,1985,M_1985_137_1173_1437,1173,28,0,0.0,False,Dayton,ind,True
M,1985,M_1985_137_1177_1393,1177,27,0,0.0,False,DePaul,ind,True
M,1985,M_1985_137_1181_1337,1181,29,0,0.0,False,Duke,acc,True
M,1985,M_1985_137_1192_1276,1192,28,0,0.0,False,F Dickinson,ecacm,True
M,1985,M_1985_136_1207_1250,1207,27,0,0.0,False,Georgetown,big_east,True
M,1985,M_1985_137_1208_1455,1208,27,0,0.0,False,Georgia,sec,True
M,1985,M_1985_137_1210_1273,1210,31,0,0.0,False,Georgia Tech,acc,True
M,1985,M_1985_137_1228_1318,1228,31,0,0.0,False,Illinois,big_ten,True
M,1985,M_1985_136_1229_1425,1229,27,0,0.0,False,Illinois St,mvc,True
M,1985,M_1985_136_1233_1260,1233,29,0,0.0,False,Iona,maac,True
M,1985,M_1985_136_1116_1234,1234,30,0,0.0,False,Iowa,big_ten,True
M,1985,M_1985_136_1235_1326,1235,29,0,0.0,False,Iowa St,big_eight,True
M,1985,M_1985_136_1242_1325,1242,30,0,0.0,False,Kansas,big_eight,True
M,1985,M_1985_136_1246_1449,1246,28,0,0.0,False,Kentucky,sec,True
M,1985,M_1985_136_1207_1250,1250,29,0,0.0,False,Lehigh,ecc,True
M,1985,M_1985_136_1256_1338,1256,28,0,0.0,False,Louisiana Tech,southland,True
M,1985,M_1985_138_1260_1374,1260,30,0,0.0,False,Loyola-Chicago,mw_city,True
M,1985,M_1985_137_1261_1298,1261,28,0,0.0,False,LSU,sec,True
M,1985,M_1985_137_1267_1433,1267,31,0,0.0,False,Marshall,southern,True
M,1985,M_1985_137_1268_1275,1268,33,0,0.0,False,Maryland,acc,True
M,1985,M_1985_137_1272_1335,1272,29,0,0.0,False,Memphis,metro,True
M,1985,M_1985_137_1210_1273,1273,28,0,0.0,False,Mercer,a_sun,True
M,1985,M_1985_137_1268_1275,1275,28,0,0.0,False,Miami OH,mac,True
M,1985,M_1985_139_1276_1437,1276,28,0,0.0,False,Michigan,big_ten,True
M,1985,M_1985_137_1277_1412,1277,28,0,0.0,False,Michigan St,big_ten,True
M,1985,M_1985_136_1292_1314,1292,26,0,0.0,False,MTSU,ovc,True
M,1985,M_1985_137_1261_1298,1298,28,0,0.0,False,Navy,ecacs,True
M,1985,M_1985_136_1299_1328,1299,24,0,0.0,False,NC A&T,meac,True
M,1985,M_1985_137_1301_1305,1301,29,0,0.0,False,NC State,acc,True
M,1985,M_1985_137_1301_1305,1305,28,0,0.0,False,Nevada,big_sky,True
M,1985,M_1985_138_1314_1323,1314,31,0,0.0,False,North Carolina,acc,True
M,1985,M_1985_137_1228_1318,1318,28,0,0.0,False,Northeastern,ecacn,True
M,1985,M_1985_136_1323_1333,1323,28,0,0.0,False,Notre Dame,ind,True
M,1985,M_1985_136_1242_1325,1325,27,0,0.0,False,Ohio,mac,True
M,1985,M_1985_136_1235_1326,1326,28,0,0.0,False,Ohio St,big_ten,True
M,1985,M_1985_136_1299_1328,1328,30,0,0.0,False,Oklahoma,big_eight,True
M,1985,M_1985_136_1330_1374,1330,29,0,0.0,False,Old Dominion,sun_belt,True
M,1985,M_1985_136_1323_1333,1333,29,0,0.0,False,Oregon St,pac_ten,True
M,1985,M_1985_137_1272_1335,1335,26,0,0.0,False,Penn,ivy,True
M,1985,M_1985_137_1181_1337,1337,27,0,0.0,False,Pepperdine,wcc,True
M,1985,M_1985_136_1256_1338,1338,26,0,0.0,False,Pittsburgh,big_east,True
M,1985,M_1985_136_1120_1345,1345,25,0,0.0,False,Purdue,big_ten,True
M,1985,M_1985_136_1361_1424,1361,30,0,0.0,False,San Diego St,wac,True
M,1985,M_1985_136_1330_1374,1374,30,0,0.0,False,SMU,swc,True
M,1985,M_1985_136_1380_1385,1380,28,0,0.0,False,Southern Univ,swac,True
M,1985,M_1985_136_1380_1385,1385,30,0,0.0,False,St John's,big_east,True
M,1985,M_1985_137_1177_1393,1393,29,0,0.0,False,Syracuse,big_east,True
M,1985,M_1985_136_1396_1439,1396,29,0,0.0,False,Temple,a_ten,True
M,1985,M_1985_137_1130_1403,1403,29,0,0.0,False,Texas Tech,swc,True
M,1985,M_1985_137_1409_1431,1409,29,0,0.0,False,Tulsa,mvc,True
M,1985,M_1985_137_1277_1412,1412,30,0,0.0,False,UAB,sun_belt,True
M,1985,M_1985_136_1361_1424,1424,30,0,0.0,False,UNLV,pcaa,True
M,1985,M_1985_136_1229_1425,1425,28,0,0.0,False,USC,pac_ten,True
