filename,private_brier,public_brier
m_pooled_xgboost_t090__w_dynamic_c030_t110.csv,0.1265330,0.1265330
m_pooled_xgboost_t090__w_dynamic_c030_t100.csv,0.1262489,0.1262489
m_pooled_xgboost_t090__w_conference_c100_t110.csv,0.1222672,0.1222672
m_pooled_xgboost_t090__w_conference_c030_t110.csv,0.1231223,0.1231223
m_pooled_xgboost_t090__w_conference_c010_t110.csv,0.1245764,0.1245764
m_pooled_xgboost_t090__w_conference_c010_t100.csv,0.1240335,0.1240335
m_pooled_xgboost_trees240_t100__w_logistic.csv,0.1244650,0.1244650
m_pooled_xgboost_trees240_t090__w_logistic.csv,0.1245508,0.1245508
m_pooled_xgboost_lighter_t100__w_logistic.csv,0.1227222,0.1227222
m_pooled_xgboost_lighter_t090__w_logistic.csv,0.1223389,0.1223389
m_pooled_xgboost_f064_t100__w_logistic.csv,0.1227821,0.1227821
m_pooled_xgboost_f064_t090__w_logistic.csv,0.1224358,0.1224358
m_pooled_xgboost75_rank_logistic25__w_logistic.csv,0.1231137,0.1231137
m_pooled_xgboost75_pooled_hist25__w_logistic.csv,0.1232226,0.1232226
m_pooled_xgboost50_rank_logistic50__w_logistic.csv,0.1236319,0.1236319
m_pooled_xgboost50_pooled_hist50__w_logistic.csv,0.1235209,0.1235209
m_pooled_xgboost25_rank_logistic75__w_logistic.csv,0.1244963,0.1244963
m_pooled_xgboost25_pooled_hist75__w_logistic.csv,0.1238368,0.1238368
m_pooled_xgboost_t110__w_logistic.csv,0.1235803,0.1235803
m_pooled_xgboost_t090__w_logistic.csv,0.1225463,0.1225463
