Feature,ExpectedBehavior,ComparableRows,MaxAbsoluteError,Passed
diff__compact__games,antisymmetric,500,0.0,True
diff__compact__wins,antisymmetric,500,0.0,True
diff__compact__win_pct,antisymmetric,500,0.0,True
diff__compact__points_for_mean,antisymmetric,500,0.0,True
diff__compact__points_against_mean,antisymmetric,500,0.0,True
diff__compact__margin_mean,antisymmetric,500,0.0,True
diff__compact__margin_median,antisymmetric,500,0.0,True
diff__compact__margin_std,antisymmetric,500,0.0,True
diff__compact__margin_iqr,antisymmetric,500,0.0,True
diff__compact__margin_mad,antisymmetric,500,0.0,True
diff__compact__margin_q10,antisymmetric,500,0.0,True
diff__compact__margin_q25,antisymmetric,500,0.0,True
diff__compact__margin_q75,antisymmetric,500,0.0,True
diff__compact__margin_q90,antisymmetric,500,0.0,True
diff__compact__margin_trim02,antisymmetric,500,0.0,True
diff__compact__margin_winsor02,antisymmetric,500,0.0,True
diff__compact__margin_slope,antisymmetric,500,0.0,True
diff__compact__win_slope,antisymmetric,500,0.0,True
diff__compact__close3_games,antisymmetric,500,0.0,True
diff__compact__close3_wins,antisymmetric,500,0.0,True
diff__compact__close5_games,antisymmetric,500,0.0,True
diff__compact__close5_wins,antisymmetric,500,0.0,True
diff__compact__blowout_win10_rate,antisymmetric,500,0.0,True
diff__compact__blowout_win20_rate,antisymmetric,500,0.0,True
diff__compact__blowout_loss10_rate,antisymmetric,500,0.0,True
diff__compact__blowout_loss20_rate,antisymmetric,500,0.0,True
diff__compact__upside_tail_mean,antisymmetric,500,0.0,True
diff__compact__downside_tail_mean,antisymmetric,500,0.0,True
diff__compact__overtime_rate,antisymmetric,500,0.0,True
diff__compact__overtime_periods_mean,antisymmetric,500,0.0,True
diff__compact__rest_days_mean,antisymmetric,500,0.0,True
diff__compact__rest_days_std,antisymmetric,500,0.0,True
diff__compact__first_game_day,antisymmetric,500,0.0,True
diff__compact__last_game_day,antisymmetric,500,0.0,True
diff__compact__losses,antisymmetric,500,0.0,True
diff__compact__close3_win_pct,antisymmetric,459,0.0,True
diff__compact__close5_win_pct,antisymmetric,492,0.0,True
diff__compact__days_since_last_game,antisymmetric,500,0.0,True
diff__compact__half_winpct_first,antisymmetric,500,0.0,True
diff__compact__half_winpct_second,antisymmetric,500,0.0,True
diff__compact__half_marginmean_first,antisymmetric,500,0.0,True
diff__compact__half_marginmean_second,antisymmetric,500,0.0,True
diff__compact__half_pointsformean_first,antisymmetric,500,0.0,True
diff__compact__half_pointsformean_second,antisymmetric,500,0.0,True
diff__compact__half_pointsagainstmean_first,antisymmetric,500,0.0,True
diff__compact__half_pointsagainstmean_second,antisymmetric,500,0.0,True
diff__compact__half_delta_winpct,antisymmetric,500,0.0,True
diff__compact__half_delta_marginmean,antisymmetric,500,0.0,True
diff__compact__half_delta_pointsformean,antisymmetric,500,0.0,True
diff__compact__half_delta_pointsagainstmean,antisymmetric,500,0.0,True
diff__compact__home_games,antisymmetric,499,0.0,True
diff__compact__home_win_pct,antisymmetric,499,0.0,True
diff__compact__home_margin_mean,antisymmetric,499,0.0,True
diff__compact__home_margin_std,antisymmetric,499,0.0,True
diff__compact__away_games,antisymmetric,500,0.0,True
diff__compact__away_win_pct,antisymmetric,500,0.0,True
diff__compact__away_margin_mean,antisymmetric,500,0.0,True
diff__compact__away_margin_std,antisymmetric,500,0.0,True
diff__compact__neutral_games,antisymmetric,440,0.0,True
diff__compact__neutral_win_pct,antisymmetric,440,0.0,True
diff__compact__neutral_margin_mean,antisymmetric,440,0.0,True
diff__compact__neutral_margin_std,antisymmetric,398,0.0,True
diff__compact__last5_games,antisymmetric,500,0.0,True
diff__compact__last5_win_pct,antisymmetric,500,0.0,True
diff__compact__last5_margin_mean,antisymmetric,500,0.0,True
diff__compact__last5_margin_median,antisymmetric,500,0.0,True
diff__compact__last5_margin_std,antisymmetric,500,0.0,True
diff__compact__last5_points_for_mean,antisymmetric,500,0.0,True
diff__compact__last5_points_against_mean,antisymmetric,500,0.0,True
diff__compact__last10_games,antisymmetric,500,0.0,True
diff__compact__last10_win_pct,antisymmetric,500,0.0,True
diff__compact__last10_margin_mean,antisymmetric,500,0.0,True
diff__compact__last10_margin_median,antisymmetric,500,0.0,True
diff__compact__last10_margin_std,antisymmetric,500,0.0,True
diff__compact__last10_points_for_mean,antisymmetric,500,0.0,True
diff__compact__last10_points_against_mean,antisymmetric,500,0.0,True
diff__compact__last20_games,antisymmetric,500,0.0,True
diff__compact__last20_win_pct,antisymmetric,500,0.0,True
diff__compact__last20_margin_mean,antisymmetric,500,0.0,True
diff__compact__last20_margin_median,antisymmetric,500,0.0,True
diff__compact__last20_margin_std,antisymmetric,500,0.0,True
diff__compact__last20_points_for_mean,antisymmetric,500,0.0,True
diff__compact__last20_points_against_mean,antisymmetric,500,0.0,True
diff__compact__day90plus_games,antisymmetric,500,0.0,True
diff__compact__day90plus_win_pct,antisymmetric,500,0.0,True
diff__compact__day90plus_margin_mean,antisymmetric,500,0.0,True
diff__compact__day110plus_games,antisymmetric,500,0.0,True
diff__compact__day110plus_win_pct,antisymmetric,500,0.0,True
diff__compact__day110plus_margin_mean,antisymmetric,500,0.0,True
diff__compact__day120plus_games,antisymmetric,500,0.0,True
diff__compact__day120plus_win_pct,antisymmetric,500,0.0,True
diff__compact__day120plus_margin_mean,antisymmetric,500,0.0,True
diff__compact__ewm_h5_win,antisymmetric,500,0.0,True
diff__compact__ewm_h5_margin,antisymmetric,500,0.0,True
diff__compact__ewm_h5_points_for,antisymmetric,500,0.0,True
diff__compact__ewm_h5_points_against,antisymmetric,500,0.0,True
diff__compact__ewm_h10_win,antisymmetric,500,0.0,True
diff__compact__ewm_h10_margin,antisymmetric,500,0.0,True
diff__compact__ewm_h10_points_for,antisymmetric,500,0.0,True
diff__compact__ewm_h10_points_against,antisymmetric,500,0.0,True
diff__compact__ewm_h20_win,antisymmetric,500,0.0,True
diff__compact__ewm_h20_margin,antisymmetric,500,0.0,True
diff__compact__ewm_h20_points_for,antisymmetric,500,0.0,True
diff__compact__ewm_h20_points_against,antisymmetric,500,0.0,True
diff__compact__pythag_exp8p0,antisymmetric,500,0.0,True
diff__compact__pythag_exp10p0,antisymmetric,500,0.0,True
diff__compact__pythag_exp11p5,antisymmetric,500,0.0,True
diff__compact__pythag_exp13p91,antisymmetric,500,0.0,True
diff__compact__pythag_residual_exp8p0,antisymmetric,500,0.0,True
diff__compact__pythag_residual_exp10p0,antisymmetric,500,0.0,True
diff__compact__pythag_residual_exp11p5,antisymmetric,500,0.0,True
diff__compact__pythag_residual_exp13p91,antisymmetric,500,0.0,True
diff__detailed__all__games,antisymmetric,253,0.0,True
diff__detailed__all__off_rtg_ros,antisymmetric,253,0.0,True
diff__detailed__all__def_rtg_ros,antisymmetric,253,0.0,True
diff__detailed__all__net_rtg_ros,antisymmetric,253,0.0,True
diff__detailed__all__pace_ros,antisymmetric,253,0.0,True
diff__detailed__all__efg_ros,antisymmetric,253,0.0,True
diff__detailed__all__opp_efg_ros,antisymmetric,253,0.0,True
diff__detailed__all__tov_pct_ros,antisymmetric,253,0.0,True
diff__detailed__all__opp_tov_pct_ros,antisymmetric,253,0.0,True
diff__detailed__all__orb_pct_ros,antisymmetric,253,0.0,True
diff__detailed__all__drb_pct_ros,antisymmetric,253,0.0,True
diff__detailed__all__ft_rate_ros,antisymmetric,253,0.0,True
diff__detailed__all__opp_ft_rate_ros,antisymmetric,253,0.0,True
diff__detailed__all__ftmade_rate_ros,antisymmetric,253,0.0,True
diff__detailed__all__opp_ftmade_rate_ros,antisymmetric,253,0.0,True
diff__detailed__all__fg_pct_ros,antisymmetric,253,0.0,True
diff__detailed__all__fg3_pct_ros,antisymmetric,253,0.0,True
diff__detailed__all__ft_pct_ros,antisymmetric,253,0.0,True
diff__detailed__all__fg3_attempt_rate_ros,antisymmetric,253,0.0,True
diff__detailed__all__true_shooting_ros,antisymmetric,253,0.0,True
diff__detailed__all__assist_to_turnover_ros,antisymmetric,253,0.0,True
diff__detailed__all__steal_pct_ros,antisymmetric,253,0.0,True
diff__detailed__all__foul_rate_ros,antisymmetric,253,0.0,True
diff__detailed__all__rebound_share_ros,antisymmetric,253,0.0,True
diff__detailed__all__offrtg_mean,antisymmetric,253,0.0,True
diff__detailed__all__offrtg_median,antisymmetric,253,0.0,True
diff__detailed__all__defrtg_mean,antisymmetric,253,0.0,True
diff__detailed__all__defrtg_median,antisymmetric,253,0.0,True
diff__detailed__all__netrtg_mean,antisymmetric,253,0.0,True
diff__detailed__all__netrtg_median,antisymmetric,253,0.0,True
diff__detailed__all__efg_mean,antisymmetric,253,0.0,True
diff__detailed__all__efg_median,antisymmetric,253,0.0,True
diff__detailed__all__oppefg_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppefg_median,antisymmetric,253,0.0,True
diff__detailed__all__tovpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__tovpct_median,antisymmetric,253,0.0,True
diff__detailed__all__opptovpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__opptovpct_median,antisymmetric,253,0.0,True
diff__detailed__all__orbpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__orbpct_median,antisymmetric,253,0.0,True
diff__detailed__all__drbpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__drbpct_median,antisymmetric,253,0.0,True
diff__detailed__all__ftrate_mean,antisymmetric,253,0.0,True
diff__detailed__all__ftrate_median,antisymmetric,253,0.0,True
diff__detailed__all__oppftrate_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppftrate_median,antisymmetric,253,0.0,True
diff__detailed__all__ftmaderate_mean,antisymmetric,253,0.0,True
diff__detailed__all__ftmaderate_median,antisymmetric,253,0.0,True
diff__detailed__all__oppftmaderate_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppftmaderate_median,antisymmetric,253,0.0,True
diff__detailed__all__fgpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__fgpct_median,antisymmetric,253,0.0,True
diff__detailed__all__oppfgpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppfgpct_median,antisymmetric,253,0.0,True
diff__detailed__all__fg2pct_mean,antisymmetric,253,0.0,True
diff__detailed__all__fg2pct_median,antisymmetric,253,0.0,True
diff__detailed__all__oppfg2pct_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppfg2pct_median,antisymmetric,253,0.0,True
diff__detailed__all__fg3pct_mean,antisymmetric,253,0.0,True
diff__detailed__all__fg3pct_median,antisymmetric,253,0.0,True
diff__detailed__all__oppfg3pct_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppfg3pct_median,antisymmetric,253,0.0,True
diff__detailed__all__ftpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__ftpct_median,antisymmetric,253,0.0,True
diff__detailed__all__oppftpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppftpct_median,antisymmetric,253,0.0,True
diff__detailed__all__fg3attemptrate_mean,antisymmetric,253,0.0,True
diff__detailed__all__fg3attemptrate_median,antisymmetric,253,0.0,True
diff__detailed__all__oppfg3attemptrate_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppfg3attemptrate_median,antisymmetric,253,0.0,True
diff__detailed__all__trueshootingpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__trueshootingpct_median,antisymmetric,253,0.0,True
diff__detailed__all__opptrueshootingpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__opptrueshootingpct_median,antisymmetric,253,0.0,True
diff__detailed__all__assistperfgm_mean,antisymmetric,253,0.0,True
diff__detailed__all__assistperfgm_median,antisymmetric,253,0.0,True
diff__detailed__all__oppassistperfgm_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppassistperfgm_median,antisymmetric,253,0.0,True
diff__detailed__all__assistturnoverratio_mean,antisymmetric,253,0.0,True
diff__detailed__all__assistturnoverratio_median,antisymmetric,253,0.0,True
diff__detailed__all__oppassistturnoverratio_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppassistturnoverratio_median,antisymmetric,253,0.0,True
diff__detailed__all__stealpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__stealpct_median,antisymmetric,253,0.0,True
diff__detailed__all__oppstealpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppstealpct_median,antisymmetric,253,0.0,True
diff__detailed__all__blockpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__blockpct_median,antisymmetric,253,0.0,True
diff__detailed__all__oppblockpct_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppblockpct_median,antisymmetric,253,0.0,True
diff__detailed__all__foulrate_mean,antisymmetric,253,0.0,True
diff__detailed__all__foulrate_median,antisymmetric,253,0.0,True
diff__detailed__all__oppfoulrate_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppfoulrate_median,antisymmetric,253,0.0,True
diff__detailed__all__reboundshare_mean,antisymmetric,253,0.0,True
diff__detailed__all__reboundshare_median,antisymmetric,253,0.0,True
diff__detailed__all__fourfactorcomposite_mean,antisymmetric,253,0.0,True
diff__detailed__all__fourfactorcomposite_median,antisymmetric,253,0.0,True
diff__detailed__all__oppfourfactorcomposite_mean,antisymmetric,253,0.0,True
diff__detailed__all__oppfourfactorcomposite_median,antisymmetric,253,0.0,True
diff__detailed__all__fourfactoredge_mean,antisymmetric,253,0.0,True
diff__detailed__all__fourfactoredge_median,antisymmetric,253,0.0,True
diff__detailed__all__netrtg_trim02,antisymmetric,253,0.0,True
diff__detailed__all__netrtg_std,antisymmetric,253,0.0,True
diff__detailed__all__offrtg_trim02,antisymmetric,253,0.0,True
diff__detailed__all__offrtg_std,antisymmetric,253,0.0,True
diff__detailed__all__defrtg_trim02,antisymmetric,253,0.0,True
diff__detailed__all__defrtg_std,antisymmetric,253,0.0,True
diff__detailed__all__efg_trim02,antisymmetric,253,0.0,True
diff__detailed__all__efg_std,antisymmetric,253,0.0,True
diff__detailed__all__tovpct_trim02,antisymmetric,253,0.0,True
diff__detailed__all__tovpct_std,antisymmetric,253,0.0,True
diff__detailed__all__orbpct_trim02,antisymmetric,253,0.0,True
diff__detailed__all__orbpct_std,antisymmetric,253,0.0,True
diff__detailed__all__ftrate_trim02,antisymmetric,253,0.0,True
diff__detailed__all__ftrate_std,antisymmetric,253,0.0,True
diff__detailed__clean__games,antisymmetric,253,0.0,True
diff__detailed__clean__off_rtg_ros,antisymmetric,253,0.0,True
diff__detailed__clean__def_rtg_ros,antisymmetric,253,0.0,True
diff__detailed__clean__net_rtg_ros,antisymmetric,253,0.0,True
diff__detailed__clean__pace_ros,antisymmetric,253,0.0,True
diff__detailed__clean__efg_ros,antisymmetric,253,0.0,True
diff__detailed__clean__opp_efg_ros,antisymmetric,253,0.0,True
diff__detailed__clean__tov_pct_ros,antisymmetric,253,0.0,True
diff__detailed__clean__opp_tov_pct_ros,antisymmetric,253,0.0,True
diff__detailed__clean__orb_pct_ros,antisymmetric,253,0.0,True
diff__detailed__clean__drb_pct_ros,antisymmetric,253,0.0,True
diff__detailed__clean__ft_rate_ros,antisymmetric,253,0.0,True
diff__detailed__clean__opp_ft_rate_ros,antisymmetric,253,0.0,True
diff__detailed__clean__ftmade_rate_ros,antisymmetric,253,0.0,True
diff__detailed__clean__opp_ftmade_rate_ros,antisymmetric,253,0.0,True
diff__detailed__clean__fg_pct_ros,antisymmetric,253,0.0,True
diff__detailed__clean__fg3_pct_ros,antisymmetric,253,0.0,True
diff__detailed__clean__ft_pct_ros,antisymmetric,253,0.0,True
diff__detailed__clean__fg3_attempt_rate_ros,antisymmetric,253,0.0,True
diff__detailed__clean__true_shooting_ros,antisymmetric,253,0.0,True
diff__detailed__clean__assist_to_turnover_ros,antisymmetric,253,0.0,True
diff__detailed__clean__steal_pct_ros,antisymmetric,253,0.0,True
diff__detailed__clean__foul_rate_ros,antisymmetric,253,0.0,True
diff__detailed__clean__rebound_share_ros,antisymmetric,253,0.0,True
diff__detailed__clean__offrtg_mean,antisymmetric,253,0.0,True
diff__detailed__clean__offrtg_median,antisymmetric,253,0.0,True
diff__detailed__clean__defrtg_mean,antisymmetric,253,0.0,True
diff__detailed__clean__defrtg_median,antisymmetric,253,0.0,True
diff__detailed__clean__netrtg_mean,antisymmetric,253,0.0,True
diff__detailed__clean__netrtg_median,antisymmetric,253,0.0,True
diff__detailed__clean__efg_mean,antisymmetric,253,0.0,True
diff__detailed__clean__efg_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppefg_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppefg_median,antisymmetric,253,0.0,True
diff__detailed__clean__tovpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__tovpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__opptovpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__opptovpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__orbpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__orbpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__drbpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__drbpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__ftrate_mean,antisymmetric,253,0.0,True
diff__detailed__clean__ftrate_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppftrate_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppftrate_median,antisymmetric,253,0.0,True
diff__detailed__clean__ftmaderate_mean,antisymmetric,253,0.0,True
diff__detailed__clean__ftmaderate_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppftmaderate_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppftmaderate_median,antisymmetric,253,0.0,True
diff__detailed__clean__fgpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__fgpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppfgpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppfgpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__fg2pct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__fg2pct_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppfg2pct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppfg2pct_median,antisymmetric,253,0.0,True
diff__detailed__clean__fg3pct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__fg3pct_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppfg3pct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppfg3pct_median,antisymmetric,253,0.0,True
diff__detailed__clean__ftpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__ftpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppftpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppftpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__fg3attemptrate_mean,antisymmetric,253,0.0,True
diff__detailed__clean__fg3attemptrate_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppfg3attemptrate_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppfg3attemptrate_median,antisymmetric,253,0.0,True
diff__detailed__clean__trueshootingpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__trueshootingpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__opptrueshootingpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__opptrueshootingpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__assistperfgm_mean,antisymmetric,253,0.0,True
diff__detailed__clean__assistperfgm_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppassistperfgm_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppassistperfgm_median,antisymmetric,253,0.0,True
diff__detailed__clean__assistturnoverratio_mean,antisymmetric,253,0.0,True
diff__detailed__clean__assistturnoverratio_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppassistturnoverratio_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppassistturnoverratio_median,antisymmetric,253,0.0,True
diff__detailed__clean__stealpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__stealpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppstealpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppstealpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__blockpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__blockpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppblockpct_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppblockpct_median,antisymmetric,253,0.0,True
diff__detailed__clean__foulrate_mean,antisymmetric,253,0.0,True
diff__detailed__clean__foulrate_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppfoulrate_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppfoulrate_median,antisymmetric,253,0.0,True
diff__detailed__clean__reboundshare_mean,antisymmetric,253,0.0,True
diff__detailed__clean__reboundshare_median,antisymmetric,253,0.0,True
diff__detailed__clean__fourfactorcomposite_mean,antisymmetric,253,0.0,True
diff__detailed__clean__fourfactorcomposite_median,antisymmetric,253,0.0,True
diff__detailed__clean__oppfourfactorcomposite_mean,antisymmetric,253,0.0,True
diff__detailed__clean__oppfourfactorcomposite_median,antisymmetric,253,0.0,True
diff__detailed__clean__fourfactoredge_mean,antisymmetric,253,0.0,True
diff__detailed__clean__fourfactoredge_median,antisymmetric,253,0.0,True
diff__detailed__clean__netrtg_trim02,antisymmetric,253,0.0,True
diff__detailed__clean__netrtg_std,antisymmetric,253,0.0,True
diff__detailed__clean__offrtg_trim02,antisymmetric,253,0.0,True
diff__detailed__clean__offrtg_std,antisymmetric,253,0.0,True
diff__detailed__clean__defrtg_trim02,antisymmetric,253,0.0,True
diff__detailed__clean__defrtg_std,antisymmetric,253,0.0,True
diff__detailed__clean__efg_trim02,antisymmetric,253,0.0,True
diff__detailed__clean__efg_std,antisymmetric,253,0.0,True
diff__detailed__clean__tovpct_trim02,antisymmetric,253,0.0,True
diff__detailed__clean__tovpct_std,antisymmetric,253,0.0,True
diff__detailed__clean__orbpct_trim02,antisymmetric,253,0.0,True
diff__detailed__clean__orbpct_std,antisymmetric,253,0.0,True
diff__detailed__clean__ftrate_trim02,antisymmetric,253,0.0,True
diff__detailed__clean__ftrate_std,antisymmetric,253,0.0,True
diff__detailed__last5__games,antisymmetric,253,0.0,True
diff__detailed__last5__off_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last5__def_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last5__net_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last5__pace_mean,antisymmetric,253,0.0,True
diff__detailed__last5__efg_mean,antisymmetric,253,0.0,True
diff__detailed__last5__opp_efg_mean,antisymmetric,253,0.0,True
diff__detailed__last5__tov_pct_mean,antisymmetric,253,0.0,True
diff__detailed__last5__orb_pct_mean,antisymmetric,253,0.0,True
diff__detailed__last5__ft_rate_mean,antisymmetric,253,0.0,True
diff__detailed__last5__four_factor_edge_mean,antisymmetric,253,0.0,True
diff__detailed__last10__games,antisymmetric,253,0.0,True
diff__detailed__last10__off_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last10__def_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last10__net_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last10__pace_mean,antisymmetric,253,0.0,True
diff__detailed__last10__efg_mean,antisymmetric,253,0.0,True
diff__detailed__last10__opp_efg_mean,antisymmetric,253,0.0,True
diff__detailed__last10__tov_pct_mean,antisymmetric,253,0.0,True
diff__detailed__last10__orb_pct_mean,antisymmetric,253,0.0,True
diff__detailed__last10__ft_rate_mean,antisymmetric,253,0.0,True
diff__detailed__last10__four_factor_edge_mean,antisymmetric,253,0.0,True
diff__detailed__last20__games,antisymmetric,253,0.0,True
diff__detailed__last20__off_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last20__def_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last20__net_rtg_mean,antisymmetric,253,0.0,True
diff__detailed__last20__pace_mean,antisymmetric,253,0.0,True
diff__detailed__last20__efg_mean,antisymmetric,253,0.0,True
diff__detailed__last20__opp_efg_mean,antisymmetric,253,0.0,True
diff__detailed__last20__tov_pct_mean,antisymmetric,253,0.0,True
diff__detailed__last20__orb_pct_mean,antisymmetric,253,0.0,True
diff__detailed__last20__ft_rate_mean,antisymmetric,253,0.0,True
diff__detailed__last20__four_factor_edge_mean,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__offrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__defrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__netrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__efg,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__oppefg,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__tovpct,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__orbpct,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__ftrate,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__fg3attemptrate,antisymmetric,253,0.0,True
diff__detailed__ewm_h5__fourfactoredge,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__offrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__defrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__netrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__efg,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__oppefg,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__tovpct,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__orbpct,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__ftrate,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__fg3attemptrate,antisymmetric,253,0.0,True
diff__detailed__ewm_h10__fourfactoredge,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__offrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__defrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__netrtg,antisymmetric,253,0.0,True
diff__detailed__ewm_h20__efg,antisymmetric,253,0.0,True
