Population,DatasetRole,Gender,FeatureRoute,Feature,Block,Availability,Universe,Rows,NonMissing,MissingRate,UniqueNonMissing
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,1181
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,1181
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,1181
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,587
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,1181
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,1181
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,575
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,1181
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,1181
historical_tournament_matchups,development,M,seed_aware,absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,common,rich,2317,1181,0.49028916702632713,1181
historical_tournament_matchups,development,M,seed_aware,absdiff__availability__rich_coverage,availability_and_context,common,compact,2317,2317,0.0,1
historical_tournament_matchups,development,M,seed_aware,absdiff__coach__prior_tournament_win_pct_smoothed,prior_coach_history,men_only,compact,2317,2317,0.0,816
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__away_margin_mean,compact_performance,common,compact,2317,2317,0.0,1892
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__away_margin_std,compact_performance,common,compact,2317,2317,0.0,2316
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__away_win_pct,compact_performance,common,compact,2317,2317,0.0,565
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__close3_win_pct,compact_performance,common,compact,2317,2245,0.03107466551575313,141
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__close5_win_pct,compact_performance,common,compact,2317,2308,0.003884333189469141,341
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__day110plus_margin_mean,compact_performance,common,compact,2317,2317,0.0,1260
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__day110plus_win_pct,compact_performance,common,compact,2317,2317,0.0,126
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__day120plus_margin_mean,compact_performance,common,compact,2317,2315,0.0008631851532153647,656
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__day120plus_win_pct,compact_performance,common,compact,2317,2315,0.0008631851532153647,31
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__day90plus_margin_mean,compact_performance,common,compact,2317,2317,0.0,1807
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__day90plus_win_pct,compact_performance,common,compact,2317,2317,0.0,385
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__days_since_last_game,compact_performance,common,compact,2317,2317,0.0,13
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__ewm_h10_margin,compact_performance,common,compact,2317,2317,0.0,2317
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__ewm_h20_margin,compact_performance,common,compact,2317,2317,0.0,2317
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__ewm_h5_margin,compact_performance,common,compact,2317,2317,0.0,2317
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__half_delta_marginmean,compact_performance,common,compact,2317,2317,0.0,2195
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__half_marginmean_first,compact_performance,common,compact,2317,2317,0.0,1885
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__half_marginmean_second,compact_performance,common,compact,2317,2317,0.0,1841
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__home_margin_mean,compact_performance,common,compact,2317,2317,0.0,2084
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__home_margin_std,compact_performance,common,compact,2317,2317,0.0,2317
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__home_win_pct,compact_performance,common,compact,2317,2317,0.0,513
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__last10_margin_mean,compact_performance,common,compact,2317,2317,0.0,212
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__last10_margin_median,compact_performance,common,compact,2317,2317,0.0,53
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__last10_margin_std,compact_performance,common,compact,2317,2317,0.0,2316
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__last10_win_pct,compact_performance,common,compact,2317,2317,0.0,8
historical_tournament_matchups,development,M,seed_aware,absdiff__compact__last20_margin_mean,compact_performance,common,compact,2317,2317,0.0,351
