Gender,FeatureA,FeatureB,AbsoluteCorrelation,BlockA,BlockB
M,absdiff__adj__net_rtg_a10p0,absdiff__adj__net_rtg_a10p0_z,0.9974965622648644,opponent_adjusted_efficiency,opponent_adjusted_efficiency
M,absdiff__adj__net_rtg_a10p0,absdiff__norm__adj__net_rtg_a10p0__z,0.9974965622648644,opponent_adjusted_efficiency,within_season_normalization
M,absdiff__adj__net_rtg_a10p0_percentile,absdiff__norm__adj__net_rtg_a10p0__pct,1.0,opponent_adjusted_efficiency,within_season_normalization
M,absdiff__adj__net_rtg_a10p0_z,absdiff__norm__adj__net_rtg_a10p0__z,1.0,opponent_adjusted_efficiency,within_season_normalization
M,absdiff__adj__net_rtg_a50p0,absdiff__adj__net_rtg_a50p0_z,0.9950492194674474,opponent_adjusted_efficiency,opponent_adjusted_efficiency
M,absdiff__adj__net_rtg_a50p0,absdiff__norm__adj__net_rtg_a50p0__z,0.9950492194674474,opponent_adjusted_efficiency,within_season_normalization
M,absdiff__adj__net_rtg_a50p0_percentile,absdiff__norm__adj__net_rtg_a50p0__pct,1.0,opponent_adjusted_efficiency,within_season_normalization
M,absdiff__adj__net_rtg_a50p0_z,absdiff__norm__adj__net_rtg_a50p0__z,1.0,opponent_adjusted_efficiency,within_season_normalization
M,absdiff__compact__margin_mean,absdiff__compact__margin_trim02,1.0,compact_performance,compact_performance
M,absdiff__compact__margin_mean,absdiff__compact__margin_winsor02,0.998452260477921,compact_performance,compact_performance
M,absdiff__compact__margin_mean,absdiff__norm__compact__margin_mean__z,0.9970155780479681,compact_performance,within_season_normalization
M,absdiff__compact__margin_mean,absdiff__norm__compact__margin_trim02__z,0.9970155780479681,compact_performance,within_season_normalization
M,absdiff__compact__margin_trim02,absdiff__compact__margin_winsor02,0.998452260477921,compact_performance,compact_performance
M,absdiff__compact__margin_trim02,absdiff__norm__compact__margin_mean__z,0.9970155780479681,compact_performance,within_season_normalization
M,absdiff__compact__margin_trim02,absdiff__norm__compact__margin_trim02__z,0.9970155780479681,compact_performance,within_season_normalization
M,absdiff__compact__margin_winsor02,absdiff__norm__compact__margin_mean__z,0.9954590396436935,compact_performance,within_season_normalization
M,absdiff__compact__margin_winsor02,absdiff__norm__compact__margin_trim02__z,0.9954590396436935,compact_performance,within_season_normalization
M,absdiff__compact__pythag_exp10p0,absdiff__compact__pythag_exp11p5,0.9977596141101588,compact_performance,compact_performance
M,absdiff__compact__pythag_exp10p0,absdiff__compact__pythag_exp13p91,0.9859086725932695,compact_performance,compact_performance
M,absdiff__compact__pythag_exp10p0,absdiff__compact__pythag_exp8p0,0.9958929037649243,compact_performance,compact_performance
M,absdiff__compact__pythag_exp11p5,absdiff__compact__pythag_exp13p91,0.9948578822144729,compact_performance,compact_performance
M,absdiff__compact__pythag_exp11p5,absdiff__compact__pythag_exp8p0,0.9876434458115523,compact_performance,compact_performance
M,absdiff__compact__win_pct,absdiff__norm__compact__win_pct__z,0.9993281763741505,compact_performance,within_season_normalization
M,absdiff__compact__win_pct,absdiff__schedule__wp,1.0,compact_performance,schedule_and_accomplishment
M,absdiff__detailed__all__def_rtg_ros,absdiff__detailed__clean__def_rtg_ros,0.9989214483710376,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__def_rtg_ros,absdiff__detailed__poss0p44__def_rtg_mean,0.9953427371317393,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__def_rtg_ros,absdiff__detailed__poss0p475__def_rtg_mean,0.9955937940049919,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__defrtg_std,absdiff__detailed__clean__defrtg_std,0.9982635372826739,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__drb_pct_ros,absdiff__detailed__clean__drb_pct_ros,0.9988962787424981,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__efg_mean,absdiff__detailed__all__efg_ros,0.9929463923073297,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__efg_mean,absdiff__detailed__all__efg_trim02,1.0,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__efg_mean,absdiff__detailed__clean__efg_mean,0.999422287553558,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__efg_mean,absdiff__detailed__clean__efg_ros,0.9923068209454272,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__efg_mean,absdiff__detailed__clean__efg_trim02,0.999422287553558,detailed_efficiency,detailed_efficiency
M,absdiff__detailed__all__efg_mean,absdiff__norm__detailed__all__efg_ros__z,0.9913353446547996,detailed_efficiency,within_season_normalization
M,absdiff__detailed__all__efg_median,absdiff__detailed__clean__efg_median,0.9992458434030027,detailed_efficiency,detailed_efficiency
