Gender,Feature,Block,Rows,MissingRate,UniqueNonMissing,Variance,NearConstant
M,absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,2317,0.49028916702632713,1181,9.812515258789062,False
M,absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,2317,0.49028916702632713,1181,2.1383049488067627,False
M,absdiff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,2317,0.49028916702632713,1181,29.923416137695312,False
M,absdiff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,2317,0.49028916702632713,587,0.017319422215223312,False
M,absdiff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,2317,0.49028916702632713,1181,0.4600144922733307,False
M,absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,2317,0.49028916702632713,1181,5.605511665344238,False
M,absdiff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,2317,0.49028916702632713,575,0.013585442677140236,False
M,absdiff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,2317,0.49028916702632713,1181,0.4445935785770416,False
M,absdiff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,2317,0.49028916702632713,1181,13.149415969848633,False
M,absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,2317,0.49028916702632713,1181,2.819021463394165,False
M,absdiff__availability__rich_coverage,availability_and_context,2317,0.0,1,0.0,True
M,absdiff__coach__prior_tournament_win_pct_smoothed,prior_coach_history,2317,0.0,816,0.017005905508995056,False
M,absdiff__compact__away_margin_mean,compact_performance,2317,0.0,1892,24.718008041381836,False
M,absdiff__compact__away_margin_std,compact_performance,2317,0.0,2316,6.8314690589904785,False
M,absdiff__compact__away_win_pct,compact_performance,2317,0.0,565,0.023528466001152992,False
M,absdiff__compact__close3_win_pct,compact_performance,2317,0.03107466551575313,141,0.05047069117426872,False
M,absdiff__compact__close5_win_pct,compact_performance,2317,0.003884333189469141,341,0.0285915806889534,False
M,absdiff__compact__day110plus_margin_mean,compact_performance,2317,0.0,1260,26.623414993286133,False
M,absdiff__compact__day110plus_win_pct,compact_performance,2317,0.0,126,0.025117576122283936,False
M,absdiff__compact__day120plus_margin_mean,compact_performance,2317,0.0008631851532153647,656,37.597293853759766,False
M,absdiff__compact__day120plus_win_pct,compact_performance,2317,0.0008631851532153647,31,0.048758894205093384,False
M,absdiff__compact__day90plus_margin_mean,compact_performance,2317,0.0,1807,20.607789993286133,False
M,absdiff__compact__day90plus_win_pct,compact_performance,2317,0.0,385,0.015631873160600662,False
M,absdiff__compact__days_since_last_game,compact_performance,2317,0.0,13,4.949842929840088,False
M,absdiff__compact__ewm_h10_margin,compact_performance,2317,0.0,2317,20.49415397644043,False
M,absdiff__compact__ewm_h20_margin,compact_performance,2317,0.0,2317,53.61836242675781,False
M,absdiff__compact__ewm_h5_margin,compact_performance,2317,0.0,2317,17.683584213256836,False
M,absdiff__compact__half_delta_marginmean,compact_performance,2317,0.0,2195,37.992427825927734,False
M,absdiff__compact__half_marginmean_first,compact_performance,2317,0.0,1885,38.11249923706055,False
M,absdiff__compact__half_marginmean_second,compact_performance,2317,0.0,1841,19.299896240234375,False
M,absdiff__compact__home_margin_mean,compact_performance,2317,0.0,2084,25.781864166259766,False
M,absdiff__compact__home_margin_std,compact_performance,2317,0.0,2317,7.682165145874023,False
M,absdiff__compact__home_win_pct,compact_performance,2317,0.0,513,0.00875493697822094,False
M,absdiff__compact__last10_margin_mean,compact_performance,2317,0.0,212,22.00100326538086,False
