OuterFoldID,Architecture,Universe,Gender,ValidationSeason,TrainingSeasonMin,TrainingSeasonMax,TrainingSeasonCount,TrainingSeasonsJSON,TrainingTargetRows,ValidationTargetRows,MenTrainingSeasonsJSON,WomenTrainingSeasonsJSON,ModelsJSON
rich_Pooled_2016,pooled_common,rich,Pooled,2016,2003,2015,13,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",1225,130,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]","[2010, 2011, 2012, 2013, 2014, 2015]","[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_Pooled_2017,pooled_common,rich,Pooled,2017,2003,2016,14,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",1355,130,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]","[2010, 2011, 2012, 2013, 2014, 2015, 2016]","[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_Pooled_2018,pooled_common,rich,Pooled,2018,2003,2017,15,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",1485,130,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]","[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_Pooled_2019,pooled_common,rich,Pooled,2019,2003,2018,16,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",1615,130,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]","[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_Pooled_2021,pooled_common,rich,Pooled,2021,2003,2019,17,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",1745,129,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]","[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_M_2016,separate_gender,rich,M,2016,2003,2015,13,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",847,67,,,"[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_M_2017,separate_gender,rich,M,2017,2003,2016,14,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",914,67,,,"[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_M_2018,separate_gender,rich,M,2018,2003,2017,15,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",981,67,,,"[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_M_2019,separate_gender,rich,M,2019,2003,2018,16,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",1048,67,,,"[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
rich_M_2021,separate_gender,rich,M,2021,2003,2019,17,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",1115,66,,,"[""constant_probability"", ""seed_logistic"", ""elo_seed_logistic"", ""elastic_logistic"", ""hist_classifier"", ""xgb_classifier"", ""lgb_classifier"", ""torch_mlp"", ""tensorflow_mlp"", ""ridge_margin"", ""xgb_margin"", ""lgb_margin""]"
